INSTITUICAO_ENSINO_ALUNO_2020,NOME,FASE_TURMA_2020,PONTO_VIRADA_2020,INDE_2020,PEDRA_2020,DESTAQUE_IEG_2020,DESTAQUE_IDA_2020,DESTAQUE_IPV_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020
Escola Pública,ALUNO-113,1M,Não,7.693.335.000.000.000,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500.020.000.000.000,8.8,7.5,7.5,7.5,7.916.665,5
,ALUNO-114,,,,,,,,,,,,,,
Escola Pública,ALUNO-115,4A,Não,5.331.389.333.333.330,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,916.668,1.9,6.875,5.166.666.666.666.660,7.916.666.666.666.660,5.111.106.666.666.660,5
,ALUNO-116,,,,,,,,,,,,,,
Escola Pública,ALUNO-117,1M,Não,8.032.085,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000.020.000.000.000,8.9,7.5,9.5,7.1875,7.916.665,5
Escola Pública,ALUNO-118,1D,Não,8.342.085,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.500.020.000.000.000,7.7,7.5,10,7.1875,7.416.665,10
,ALUNO-119,,,,,,,,,,,,,,
Escola Pública,ALUNO-120,0A,Não,7.895.835.000.000.000,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,10,8.125,9.5,2.5,7.666.665,5
,ALUNO-121,,,,,,,,,,,,,,
,ALUNO-122,,,,,,,,,,,,,,
,ALUNO-123,,,,,,,,,,,,,,
,ALUNO-124,,,,,,,,,,,,,,
Escola Pública,ALUNO-125,1C,Não,7.187.502,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,9,7.5,5,7.708.333.333.333.330,7.333.333.333.333.330,5
,ALUNO-126,,,,,,,,,,,,,,
,ALUNO-127,,,,,,,,,,,,,,
Escola Pública,ALUNO-128,0G,Não,5.854.169.000.000.000,Quartzo,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,74.166.799.999.999.900,10,5.625,5.5,2.5,3.500.005,5
,ALUNO-129,,,,,,,,,,,,,,
,ALUNO-130,,,,,,,,,,,,,,
,ALUNO-131,,,,,,,,,,,,,,
Escola Pública,ALUNO-132,4F,Não,7.344.792,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,875.001,6.5,7.5,6,828.125,695.833,10
