,INSTITUICAO_ENSINO_ALUNO_2020,NOME,FASE_2020,TURMA_2022,PONTO_VIRADA_2020,INDE_2020,PEDRA_2020,DESTAQUE_IEG_2020,DESTAQUE_IDA_2020,DESTAQUE_IPV_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020
1144,Escola Pública,ALUNO-1145,3,J,Não,6.2,Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.17,6.1,6.88,4.6,8.0,5.7,5.0
1147,Escola Pública,ALUNO-1148,4,F,Não,3.0,Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",6.67,1.2,2.5,0.0,5.0,4.5,5.0
1148,Escola Pública,ALUNO-1149,0,E,Não,7.0,Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.5,10.0,5.63,9.0,2.5,4.8,5.0
1149,Escola Pública,ALUNO-1150,1,H,Não,8.6,Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",9.5,8.8,7.5,9.5,7.9,7.61,10.0
1155,Escola Pública,ALUNO-1156,3,B,Não,8.2,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",8.33,9.0,7.5,8.6,7.8,6.9,10.0
1158,Escola Pública,ALUNO-1159,3,F,Sim,8.5,Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.17,9.9,6.88,9.3,8.0,8.9,5.0
1160,Escola Pública,ALUNO-1161,3,L,Não,6.2,Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",10.0,7.8,4.38,4.6,6.0,6.1,5.0
1164,Escola Pública,ALUNO-1165,2,D,Não,8.0,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",8.0,9.9,7.5,9.0,7.5,7.5,5.0
1165,Escola Pública,ALUNO-1166,2,E,Não,5.6,Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.5,6.3,5.0,4.0,6.2,5.2,5.0
1166,Escola Pública,ALUNO-1167,1,F,Não,7.6,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",9.5,8.7,6.25,4.5,8.0,8.0,10.0
